"Cat","year","geography","FIPS_code","geo_type","geo_full_name","geo_abbreviation","cat","age","eligible90"
"MN","2010","Montana",30,"state","Montana","MT","MN","10--14","26"
"MN","2010","Montana",30,"state","Montana","MT","MN","15--18","38"
"MN","2010","Montana",30,"state","Montana","MT","MN","19--20","8"
"Total","2010","Montana",30,"state","Montana","MT","Total","< 1","4606"
"Total","2010","Montana",30,"state","Montana","MT","Total","1--2","10898"
"Total","2010","Montana",30,"state","Montana","MT","Total","3--5","14137"
"Total","2010","Montana",30,"state","Montana","MT","Total","6--9","15311"
"Total","2010","Montana",30,"state","Montana","MT","Total","10--14","15073"
"Total","2010","Montana",30,"state","Montana","MT","Total","15--18","10351"
"Total","2010","Montana",30,"state","Montana","MT","Total","19--20","3114"
"CN","2010","Missouri",29,"state","Missouri","MO","CN","< 1","31785"
"CN","2010","Missouri",29,"state","Missouri","MO","CN","1--2","86126"
"CN","2010","Missouri",29,"state","Missouri","MO","CN","3--5","114683"
"CN","2010","Missouri",29,"state","Missouri","MO","CN","6--9","129291"
"CN","2010","Missouri",29,"state","Missouri","MO","CN","10--14","139168"
"CN","2010","Missouri",29,"state","Missouri","MO","CN","15--18","103024"
"CN","2010","Missouri",29,"state","Missouri","MO","CN","19--20","30463"
"MN","2010","Missouri",29,"state","Missouri","MO","MN","< 1","0"
"MN","2010","Missouri",29,"state","Missouri","MO","MN","1--2","0"
"MN","2010","Missouri",29,"state","Missouri","MO","MN","3--5","0"
"MN","2010","Missouri",29,"state","Missouri","MO","MN","6--9","0"
"MN","2010","Missouri",29,"state","Missouri","MO","MN","10--14","0"
"MN","2010","Missouri",29,"state","Missouri","MO","MN","15--18","0"
"MN","2010","Missouri",29,"state","Missouri","MO","MN","19--20","0"
"Total","2010","Missouri",29,"state","Missouri","MO","Total","< 1","31785"
"Total","2010","Missouri",29,"state","Missouri","MO","Total","1--2","86126"
"Total","2010","Missouri",29,"state","Missouri","MO","Total","3--5","114683"
"Total","2010","Missouri",29,"state","Missouri","MO","Total","6--9","129291"
"Total","2010","Missouri",29,"state","Missouri","MO","Total","10--14","139168"
"Total","2010","Missouri",29,"state","Missouri","MO","Total","15--18","103024"
"Total","2010","Missouri",29,"state","Missouri","MO","Total","19--20","30463"
"CN","2010","Mississippi",28,"state","Mississippi","MS","CN","< 1","26563"
"CN","2010","Mississippi",28,"state","Mississippi","MS","CN","1--2","60753"
"CN","2010","Mississippi",28,"state","Mississippi","MS","CN","3--5","78437"
"CN","2010","Mississippi",28,"state","Mississippi","MS","CN","6--9","80230"
"CN","2010","Mississippi",28,"state","Mississippi","MS","CN","10--14","83720"
"CN","2010","Mississippi",28,"state","Mississippi","MS","CN","15--18","55066"
"CN","2010","Mississippi",28,"state","Mississippi","MS","CN","19--20","11875"
"MN","2010","Mississippi",28,"state","Mississippi","MS","MN","< 1","0"
"MN","2010","Mississippi",28,"state","Mississippi","MS","MN","1--2","0"
"MN","2010","Mississippi",28,"state","Mississippi","MS","MN","3--5","0"
"MN","2010","Mississippi",28,"state","Mississippi","MS","MN","6--9","0"
"MN","2010","Mississippi",28,"state","Mississippi","MS","MN","10--14","0"
"MN","2010","Mississippi",28,"state","Mississippi","MS","MN","15--18","0"
"MN","2010","Mississippi",28,"state","Mississippi","MS","MN","19--20","0"
"Total","2010","Mississippi",28,"state","Mississippi","MS","Total","< 1","26563"
"Total","2010","Mississippi",28,"state","Mississippi","MS","Total","1--2","60753"
"Total","2010","Mississippi",28,"state","Mississippi","MS","Total","3--5","78437"
"Total","2010","Mississippi",28,"state","Mississippi","MS","Total","6--9","80230"
"Total","2010","Mississippi",28,"state","Mississippi","MS","Total","10--14","83720"
"Total","2010","Mississippi",28,"state","Mississippi","MS","Total","15--18","55066"
"Total","2010","Mississippi",28,"state","Mississippi","MS","Total","19--20","11875"
"CN","2010","Minnesota",27,"state","Minnesota","MN","CN","< 1","24913"
"CN","2010","Minnesota",27,"state","Minnesota","MN","CN","1--2","58491"
"CN","2010","Minnesota",27,"state","Minnesota","MN","CN","3--5","66932"
"CN","2010","Minnesota",27,"state","Minnesota","MN","CN","6--9","74525"
"CN","2010","Minnesota",27,"state","Minnesota","MN","CN","10--14","76027"
"CN","2010","Minnesota",27,"state","Minnesota","MN","CN","15--18","54446"
"CN","2010","Minnesota",27,"state","Minnesota","MN","CN","19--20","25220"
"MN","2010","Minnesota",27,"state","Minnesota","MN","MN","< 1","1112"
"MN","2010","Minnesota",27,"state","Minnesota","MN","MN","1--2","3918"
"MN","2010","Minnesota",27,"state","Minnesota","MN","MN","3--5","8367"
"MN","2010","Minnesota",27,"state","Minnesota","MN","MN","6--9","10365"
"MN","2010","Minnesota",27,"state","Minnesota","MN","MN","10--14","12525"
"MN","2010","Minnesota",27,"state","Minnesota","MN","MN","15--18","11213"
"MN","2010","Minnesota",27,"state","Minnesota","MN","MN","19--20","7977"
"Total","2010","Minnesota",27,"state","Minnesota","MN","Total","< 1","26025"
"Total","2010","Minnesota",27,"state","Minnesota","MN","Total","1--2","62409"
"Total","2010","Minnesota",27,"state","Minnesota","MN","Total","3--5","75299"
"Total","2010","Minnesota",27,"state","Minnesota","MN","Total","6--9","84890"
"Total","2010","Minnesota",27,"state","Minnesota","MN","Total","10--14","88552"
"Total","2010","Minnesota",27,"state","Minnesota","MN","Total","15--18","65659"
"Total","2010","Minnesota",27,"state","Minnesota","MN","Total","19--20","33197"
"CN","2010","Michigan",26,"state","Michigan","MI","CN","< 1","57453"
"CN","2010","Michigan",26,"state","Michigan","MI","CN","1--2","139250"
"CN","2010","Michigan",26,"state","Michigan","MI","CN","3--5","191753"
"CN","2010","Michigan",26,"state","Michigan","MI","CN","6--9","233008"
"CN","2010","Michigan",26,"state","Michigan","MI","CN","10--14","269111"
"CN","2010","Michigan",26,"state","Michigan","MI","CN","15--18","203656"
"CN","2010","Michigan",26,"state","Michigan","MI","CN","19--20","71187"
"MN","2010","Michigan",26,"state","Michigan","MI","MN","< 1","5"
"MN","2010","Michigan",26,"state","Michigan","MI","MN","1--2","22"
"MN","2010","Michigan",26,"state","Michigan","MI","MN","3--5","29"
"MN","2010","Michigan",26,"state","Michigan","MI","MN","6--9","29"
"MN","2010","Michigan",26,"state","Michigan","MI","MN","10--14","43"
"MN","2010","Michigan",26,"state","Michigan","MI","MN","15--18","67"
"MN","2010","Michigan",26,"state","Michigan","MI","MN","19--20","21339"
"Total","2010","Michigan",26,"state","Michigan","MI","Total","< 1","57458"
"Total","2010","Michigan",26,"state","Michigan","MI","Total","1--2","139272"
"Total","2010","Michigan",26,"state","Michigan","MI","Total","3--5","191782"
"Total","2010","Michigan",26,"state","Michigan","MI","Total","6--9","233037"
"Total","2010","Michigan",26,"state","Michigan","MI","Total","10--14","269154"
"Total","2010","Michigan",26,"state","Michigan","MI","Total","15--18","203723"
"Total","2010","Michigan",26,"state","Michigan","MI","Total","19--20","92526"
"CN","2010","Massachusetts",25,"state","Massachusetts","MA","CN","< 1","26491"
"CN","2010","Massachusetts",25,"state","Massachusetts","MA","CN","1--2","72104"
"CN","2010","Massachusetts",25,"state","Massachusetts","MA","CN","3--5","88492"
"CN","2010","Massachusetts",25,"state","Massachusetts","MA","CN","6--9","99810"
"CN","2010","Massachusetts",25,"state","Massachusetts","MA","CN","10--14","113879"
"CN","2010","Massachusetts",25,"state","Massachusetts","MA","CN","15--18","93876"
"CN","2010","Massachusetts",25,"state","Massachusetts","MA","CN","19--20","44312"
"MN","2010","Massachusetts",25,"state","Massachusetts","MA","MN","< 1","0"
"MN","2010","Massachusetts",25,"state","Massachusetts","MA","MN","1--2","0"
"MN","2010","Massachusetts",25,"state","Massachusetts","MA","MN","3--5","0"
"MN","2010","Massachusetts",25,"state","Massachusetts","MA","MN","6--9","0"
"MN","2010","Massachusetts",25,"state","Massachusetts","MA","MN","10--14","0"
"MN","2010","Massachusetts",25,"state","Massachusetts","MA","MN","15--18","0"
"MN","2010","Massachusetts",25,"state","Massachusetts","MA","MN","19--20","0"
"Total","2010","Massachusetts",25,"state","Massachusetts","MA","Total","< 1","26491"
"Total","2010","Massachusetts",25,"state","Massachusetts","MA","Total","1--2","72104"
"Total","2010","Massachusetts",25,"state","Massachusetts","MA","Total","3--5","88492"
"Total","2010","Massachusetts",25,"state","Massachusetts","MA","Total","6--9","99810"
"Total","2010","Massachusetts",25,"state","Massachusetts","MA","Total","10--14","113879"
"Total","2010","Massachusetts",25,"state","Massachusetts","MA","Total","15--18","93876"
"Total","2010","Massachusetts",25,"state","Massachusetts","MA","Total","19--20","44312"
"CN","2010","Maryland",24,"state","Maryland","MD","CN","< 1","30069"
"CN","2010","Maryland",24,"state","Maryland","MD","CN","1--2","76751"
"CN","2010","Maryland",24,"state","Maryland","MD","CN","3--5","99675"
"CN","2010","Maryland",24,"state","Maryland","MD","CN","6--9","109892"
"CN","2010","Maryland",24,"state","Maryland","MD","CN","10--14","118683"
"CN","2010","Maryland",24,"state","Maryland","MD","CN","15--18","89366"
"CN","2010","Maryland",24,"state","Maryland","MD","CN","19--20","35638"
"MN","2010","Maryland",24,"state","Maryland","MD","MN","< 1","13"
"MN","2010","Maryland",24,"state","Maryland","MD","MN","1--2","53"
"MN","2010","Maryland",24,"state","Maryland","MD","MN","3--5","83"
"MN","2010","Maryland",24,"state","Maryland","MD","MN","6--9","119"
"MN","2010","Maryland",24,"state","Maryland","MD","MN","10--14","160"
"MN","2010","Maryland",24,"state","Maryland","MD","MN","15--18","172"
"MN","2010","Maryland",24,"state","Maryland","MD","MN","19--20","338"
"Total","2010","Maryland",24,"state","Maryland","MD","Total","< 1","30082"
"Total","2010","Maryland",24,"state","Maryland","MD","Total","1--2","76804"
"Total","2010","Maryland",24,"state","Maryland","MD","Total","3--5","99758"
"Total","2010","Maryland",24,"state","Maryland","MD","Total","6--9","110011"
"Total","2010","Maryland",24,"state","Maryland","MD","Total","10--14","118843"
"Total","2010","Maryland",24,"state","Maryland","MD","Total","15--18","89538"
"Total","2010","Maryland",24,"state","Maryland","MD","Total","19--20","35976"
"CN","2010","Maine",23,"state","Maine","ME","CN","< 1","6005"
"CN","2010","Maine",23,"state","Maine","ME","CN","1--2","14426"
"CN","2010","Maine",23,"state","Maine","ME","CN","3--5","20515"
"CN","2010","Maine",23,"state","Maine","ME","CN","6--9","24938"
"CN","2010","Maine",23,"state","Maine","ME","CN","10--14","29587"
"CN","2010","Maine",23,"state","Maine","ME","CN","15--18","22725"
"CN","2010","Maine",23,"state","Maine","ME","CN","19--20","11364"
"MN","2010","Maine",23,"state","Maine","ME","MN","< 1","0"
"MN","2010","Maine",23,"state","Maine","ME","MN","1--2","0"
"MN","2010","Maine",23,"state","Maine","ME","MN","3--5","0"
"MN","2010","Maine",23,"state","Maine","ME","MN","6--9","0"
"MN","2010","Maine",23,"state","Maine","ME","MN","10--14","0"
"MN","2010","Maine",23,"state","Maine","ME","MN","15--18","0"
"MN","2010","Maine",23,"state","Maine","ME","MN","19--20","0"
"Total","2010","Maine",23,"state","Maine","ME","Total","< 1","6005"
"Total","2010","Maine",23,"state","Maine","ME","Total","1--2","14426"
"Total","2010","Maine",23,"state","Maine","ME","Total","3--5","20515"
"Total","2010","Maine",23,"state","Maine","ME","Total","6--9","24938"
"Total","2010","Maine",23,"state","Maine","ME","Total","10--14","29587"
"Total","2010","Maine",23,"state","Maine","ME","Total","15--18","22725"
"Total","2010","Maine",23,"state","Maine","ME","Total","19--20","11364"
"CN","2010","Louisiana",22,"state","Louisiana","LA","CN","< 1","37709"
"CN","2010","Louisiana",22,"state","Louisiana","LA","CN","1--2","97412"
"CN","2010","Louisiana",22,"state","Louisiana","LA","CN","3--5","135309"
"CN","2010","Louisiana",22,"state","Louisiana","LA","CN","6--9","158550"
"CN","2010","Louisiana",22,"state","Louisiana","LA","CN","10--14","178765"
"CN","2010","Louisiana",22,"state","Louisiana","LA","CN","15--18","136194"
"CN","2010","Louisiana",22,"state","Louisiana","LA","CN","19--20","40379"
"MN","2010","Louisiana",22,"state","Louisiana","LA","MN","< 1","12"
"MN","2010","Louisiana",22,"state","Louisiana","LA","MN","1--2","42"
"MN","2010","Louisiana",22,"state","Louisiana","LA","MN","3--5","73"
"MN","2010","Louisiana",22,"state","Louisiana","LA","MN","6--9","88"
"MN","2010","Louisiana",22,"state","Louisiana","LA","MN","10--14","87"
"MN","2010","Louisiana",22,"state","Louisiana","LA","MN","15--18","73"
"MN","2010","Louisiana",22,"state","Louisiana","LA","MN","19--20","103"
"Total","2010","Louisiana",22,"state","Louisiana","LA","Total","< 1","37721"
"Total","2010","Louisiana",22,"state","Louisiana","LA","Total","1--2","97454"
"Total","2010","Louisiana",22,"state","Louisiana","LA","Total","3--5","135382"
"Total","2010","Louisiana",22,"state","Louisiana","LA","Total","6--9","158638"
"Total","2010","Louisiana",22,"state","Louisiana","LA","Total","10--14","178852"
"Total","2010","Louisiana",22,"state","Louisiana","LA","Total","15--18","136267"
"Total","2010","Louisiana",22,"state","Louisiana","LA","Total","19--20","40482"
"CN","2010","Kentucky",21,"state","Kentucky","KY","CN","< 1","25815"
"CN","2010","Kentucky",21,"state","Kentucky","KY","CN","1--2","63026"
"CN","2010","Kentucky",21,"state","Kentucky","KY","CN","3--5","84290"
"CN","2010","Kentucky",21,"state","Kentucky","KY","CN","6--9","97402"
"CN","2010","Kentucky",21,"state","Kentucky","KY","CN","10--14","107766"
"CN","2010","Kentucky",21,"state","Kentucky","KY","CN","15--18","77402"
"CN","2010","Kentucky",21,"state","Kentucky","KY","CN","19--20","22894"
"MN","2010","Kentucky",21,"state","Kentucky","KY","MN","< 1","996"
"MN","2010","Kentucky",21,"state","Kentucky","KY","MN","1--2","4361"
"MN","2010","Kentucky",21,"state","Kentucky","KY","MN","3--5","5955"
"MN","2010","Kentucky",21,"state","Kentucky","KY","MN","6--9","6153"
"MN","2010","Kentucky",21,"state","Kentucky","KY","MN","10--14","6415"
"MN","2010","Kentucky",21,"state","Kentucky","KY","MN","15--18","5586"
"MN","2010","Kentucky",21,"state","Kentucky","KY","MN","19--20","1051"
"Total","2010","Kentucky",21,"state","Kentucky","KY","Total","< 1","26811"
"Total","2010","Kentucky",21,"state","Kentucky","KY","Total","1--2","67387"
"Total","2010","Kentucky",21,"state","Kentucky","KY","Total","3--5","90245"
"Total","2010","Kentucky",21,"state","Kentucky","KY","Total","6--9","103555"
"Total","2010","Kentucky",21,"state","Kentucky","KY","Total","10--14","114181"
"Total","2010","Kentucky",21,"state","Kentucky","KY","Total","15--18","82988"
"Total","2010","Kentucky",21,"state","Kentucky","KY","Total","19--20","23945"
"CN","2010","Kansas",20,"state","Kansas","KS","CN","< 1","15882"
"CN","2010","Kansas",20,"state","Kansas","KS","CN","1--2","36930"
"CN","2010","Kansas",20,"state","Kansas","KS","CN","3--5","45639"
"CN","2010","Kansas",20,"state","Kansas","KS","CN","6--9","45489"
"CN","2010","Kansas",20,"state","Kansas","KS","CN","10--14","42239"
"CN","2010","Kansas",20,"state","Kansas","KS","CN","15--18","28673"
"CN","2010","Kansas",20,"state","Kansas","KS","CN","19--20","10054"
"MN","2010","Kansas",20,"state","Kansas","KS","MN","< 1","24"
"MN","2010","Kansas",20,"state","Kansas","KS","MN","1--2","28"
"MN","2010","Kansas",20,"state","Kansas","KS","MN","3--5","48"
"MN","2010","Kansas",20,"state","Kansas","KS","MN","6--9","37"
"MN","2010","Kansas",20,"state","Kansas","KS","MN","10--14","48"
"MN","2010","Kansas",20,"state","Kansas","KS","MN","15--18","42"
"MN","2010","Kansas",20,"state","Kansas","KS","MN","19--20","37"
"Total","2010","Kansas",20,"state","Kansas","KS","Total","< 1","15906"
"Total","2010","Kansas",20,"state","Kansas","KS","Total","1--2","36958"
"Total","2010","Kansas",20,"state","Kansas","KS","Total","3--5","45687"
"Total","2010","Kansas",20,"state","Kansas","KS","Total","6--9","45526"
"Total","2010","Kansas",20,"state","Kansas","KS","Total","10--14","42287"
"Total","2010","Kansas",20,"state","Kansas","KS","Total","15--18","28715"
"Total","2010","Kansas",20,"state","Kansas","KS","Total","19--20","10091"
"CN","2010","Iowa",19,"state","Iowa","IA","CN","< 1","15934"
"CN","2010","Iowa",19,"state","Iowa","IA","CN","1--2","38855"
"CN","2010","Iowa",19,"state","Iowa","IA","CN","3--5","50640"
"CN","2010","Iowa",19,"state","Iowa","IA","CN","6--9","55070"
"CN","2010","Iowa",19,"state","Iowa","IA","CN","10--14","57389"
"CN","2010","Iowa",19,"state","Iowa","IA","CN","15--18","40501"
"CN","2010","Iowa",19,"state","Iowa","IA","CN","19--20","17069"
